### GO-terms (molecular_function)
GO:0016740	GO:0005488	GO:0005198	GO:0003824	GO:0003676	GO:0016787	GO:0000166	GO:0003723	GO:0005515	GO:0008289	GO:0003677
### GO-names (molecular_function)
transferase activity	binding	structural molecule activity	catalytic activity	nucleic acid binding	hydrolase activity	nucleotide binding	RNA binding	protein binding	lipid binding	DNA binding
### GO-terms (biological_process)
GO:0007049	GO:0019538	GO:0008152	GO:0009628	GO:0009416	GO:0009987	GO:0006412	GO:0009058	GO:0015979
### GO-names (biological_process)
cell cycle	protein metabolic process	metabolic process	response to abiotic stimulus	response to light stimulus	cellular process	translation	biosynthetic process	photosynthesis
### GO-terms (cellular_component)
GO:0016020	GO:0009579	GO:0005829	GO:0009536	GO:0005634	GO:0005886	GO:0009507	GO:0005783	GO:0005622	GO:0005739	GO:0005730	GO:0005576	GO:0005737	GO:0005654	GO:0005840	GO:0005856
### GO-names (cellular_component)
membrane	thylakoid	cytosol	plastid	nucleus	plasma membrane	chloroplast	endoplasmic reticulum	intracellular anatomical structure	mitochondrion	nucleolus	extracellular region	cytoplasm	nucleoplasm	ribosome	cytoskeleton
### PDB-chain	GO-terms (molecular_function)	GO-terms (biological_process)	GO-terms (cellular_component)
5X8P-7	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737,GO:0005840
6UZV-2		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
8INE-3	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005840
1I4K-1	GO:0003676,GO:0005488,GO:0003723		
3J79-5	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7OUI-2	GO:0005515,GO:0005488	GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6WB9-6			GO:0005783,GO:0016020,GO:0005737,GO:0005622
4UER-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8GZU-82			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7WU7-4	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005739,GO:0005737
7YCX-7	GO:0003676,GO:0005488		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005654
7PNT-3			GO:0016020,GO:0005634,GO:0005622,GO:0005739,GO:0005737,GO:0005654,GO:0005840
5IVW-2	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
6VBU-7			GO:0005737,GO:0016020,GO:0005856,GO:0005622
8S9S-8	GO:0005515,GO:0005488		GO:0005783,GO:0016020,GO:0005737,GO:0005622
3JA8-5	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
3JBN-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
4L6V-1		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
5L4G-7	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005576,GO:0005737,GO:0005654
6IJJ-6		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6WM2-6	GO:0005515,GO:0005488		GO:0005886,GO:0016020
6O9L-6	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
8D9R-4	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003723,GO:0005515		GO:0016020,GO:0005829,GO:0005886,GO:0005622,GO:0005737
5MRC-55			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
4UY8-8	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
8B9A-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
1M8Q-2	GO:0005488,GO:0003824,GO:0016787,GO:0000166,GO:0005515		GO:0005737,GO:0005856,GO:0005622
6ZVK-42	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6TRC-1		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
6B2Z-7	GO:0005488,GO:0008289		GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737
8CRX-2		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8D8J-6			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6NU2-6	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6RAZ-6	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005622
7NHK-7		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3PHF-2	GO:0005515,GO:0005488		GO:0016020
6WLW-4	GO:0005515,GO:0005488		GO:0005886,GO:0016020
5A9Q-4	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
5U8S-2	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6O9M-3	GO:0005515,GO:0005488	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005654,GO:0005622
7DKF-42			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7NHK-1		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7QJ4-2	GO:0005515,GO:0005488,GO:0000166		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005856
3LK4-2			GO:0016020,GO:0005829,GO:0005622,GO:0005737,GO:0005856
5JBH-8		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	
4BEX-1	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005886,GO:0005622,GO:0005737,GO:0005856
3J6B-8			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
3J6X-10	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005829,GO:0005737,GO:0005840,GO:0005622
8GZU-62			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7ODR-2		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6EM1-4	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005730,GO:0005622
6GCS-2			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6YL3-2	GO:0003824,GO:0016787		GO:0005737,GO:0005622
7Q08-9	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
8GZU-50			GO:0005737,GO:0016020,GO:0005739,GO:0005622
5GJR-3	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005576,GO:0005737,GO:0005654
6VLZ-4	GO:0005515,GO:0005488	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
2RDO-9	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6WB9-2	GO:0005515,GO:0005488		GO:0016020,GO:0005783,GO:0005634,GO:0005622,GO:0005737
7Y3F-1		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
7OF7-1		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6ZA9-3	GO:0005488,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
3J7Y-4	GO:0005515,GO:0005488	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
1NAL-1		GO:0008152	GO:0005829,GO:0005737,GO:0005622
7JU4-7	GO:0003824,GO:0005488,GO:0016787,GO:0000166		GO:0005737,GO:0005856,GO:0005622
5U8T-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6GYM-5	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
6IGZ-9		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
4WZO-45	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7JU4-1	GO:0005515,GO:0005488		GO:0005737,GO:0005856,GO:0005622
2WSC-2		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6GCS-5			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6KAD-4		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7DKF-62			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7ML4-2	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005622
6RAW-4	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677		GO:0005634,GO:0016020,GO:0005622
7QH7-5	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
1YYY-1	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0005576
7OYA-11	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005783,GO:0005634,GO:0005622,GO:0005737
1SM1-3	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7PNW-2			GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005739,GO:0005737,GO:0005654,GO:0005840
3CRW-1	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003677	GO:0009987,GO:0008152	
7ZM7-2			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7A5K-23		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6KIF-6		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
1GPH-1	GO:0003824,GO:0016740	GO:0008152	
1TPB-1			GO:0005829,GO:0005737,GO:0005622
5ZET-2	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5OQJ-4			GO:0005634,GO:0016020,GO:0005622
5ZGB-2		GO:0009987,GO:0008152,GO:0015979	GO:0009536,GO:0005737,GO:0016020,GO:0005622
6KAD-9		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6WJV-4	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005622
7ENC-2	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
1K2I-1	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0005576
4V19-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5IVW-1	GO:0005515,GO:0005488		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
6HKT-3	GO:0003676,GO:0003677,GO:0005488,GO:0005515		GO:0016020,GO:0005829,GO:0005634,GO:0005886,GO:0005622,GO:0005737,GO:0005654
6ZA9-6	GO:0005488,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
4WR6-52	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7ZKP-3			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6OWF-1		GO:0009987,GO:0008152,GO:0015979	
5MP9-6	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
3J6X-63		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
7JG5-5	GO:0003824,GO:0005488,GO:0016787,GO:0008289		GO:0005886,GO:0016020
6ZP4-4	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
1ZUD-1	GO:0003824,GO:0016740,GO:0005488,GO:0000166		GO:0005829,GO:0005737,GO:0005622
6JO5-6		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
2IJD-1	GO:0003676,GO:0005488,GO:0003723		
3J77-12		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6IGZ-7		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7DGQ-1			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7DGQ-5			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6W2S-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005622
6U42-2	GO:0003824,GO:0005488,GO:0016787,GO:0000166		GO:0005737,GO:0005856,GO:0005622
5OY0-6		GO:0009987,GO:0008152,GO:0015979	
4WZO-39	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6YWX-77			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6YWE-66			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6PEP-5	GO:0005515,GO:0005488		GO:0005886,GO:0016020
5ZET-1		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6KAD-7		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7K01-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003677		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
3WMM-1	GO:0005515,GO:0005488		GO:0005886,GO:0016020
6TT7-4	GO:0005488,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
3CW1-7	GO:0003676,GO:0005488,GO:0003723		
7RRO-4	GO:0005515,GO:0005488		GO:0005737,GO:0005856,GO:0005622
6DZI-6	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6O9L-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677		GO:0005634,GO:0016020,GO:0005654,GO:0005622
8GZU-49			GO:0005737,GO:0016020,GO:0005739,GO:0005622
8FNI-11	GO:0003676,GO:0005488,GO:0003723		GO:0005737,GO:0016020,GO:0005739,GO:0005622
6LQM-3	GO:0003676,GO:0005488,GO:0003723		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
5OQJ-2	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005622
8AW3-3	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
4CE4-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	
7WU7-3	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
3J6X-55	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
3J6B-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
7EU3-3		GO:0009987,GO:0008152,GO:0015979	
3J6X-51	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005840
6GYM-6			GO:0005634,GO:0016020,GO:0005622
6VLZ-9	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0007049,GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
8OUW-2	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003677		GO:0005634,GO:0016020,GO:0005622
4WRO-21	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8FN4-1			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6IGZ-2		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
8J07-12			GO:0005737,GO:0005856,GO:0005622
6SW9-6	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	
8FR8-2		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6SWE-3	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
6Y53-8	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005634,GO:0016020,GO:0005654,GO:0005622
6U42-7	GO:0005488,GO:0000166		GO:0005737,GO:0005856,GO:0005622
6HE5-3	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0005737,GO:0005622
6U42-5	GO:0005488,GO:0000166		GO:0005737,GO:0005856,GO:0005622
8ITY-3	GO:0003676,GO:0003677,GO:0005488,GO:0005515		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005654
6O9M-2	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
7C52-7	GO:0005515,GO:0005488		GO:0005886,GO:0016020
8OUW-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003677	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005622
3J79-8		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8ETC-3		GO:0007049,GO:0009987	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737
3WMM-5	GO:0005515,GO:0005488		GO:0005886,GO:0016020
8D9R-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003723,GO:0005515		GO:0016020,GO:0005829,GO:0005886,GO:0005622,GO:0005737
7YCX-3	GO:0003676,GO:0003677,GO:0005488		
7YCA-1		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
3JCO-7	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
7ODR-5	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6VPV-5		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
2RDO-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
7VPX-2	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005634,GO:0016020,GO:0005654,GO:0005622
6GCS-6			GO:0005737,GO:0016020,GO:0005739,GO:0005622
5L4G-6	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005739,GO:0005737,GO:0005654
5ZJI-4		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7ZM7-1			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7JG5-4	GO:0003824,GO:0005488,GO:0016787,GO:0008289		GO:0005886,GO:0016020
7P48-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5GJR-2	GO:0005198		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005576,GO:0005737,GO:0005654
5OQJ-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003677		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
7UNF-8	GO:0005515,GO:0005488		GO:0005886,GO:0016020
3JCO-6	GO:0005515,GO:0005488		GO:0005737,GO:0005634,GO:0016020,GO:0005622
7RRO-8			GO:0005737,GO:0005856,GO:0005622
7RRO-1			GO:0005737,GO:0005856,GO:0005622
5L4G-4	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005739,GO:0005737,GO:0005654
8CSQ-7	GO:0003824,GO:0005515,GO:0016740,GO:0005488	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005634,GO:0005622,GO:0005739,GO:0005737,GO:0005654
3J6B-7		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
3J6X-24		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737,GO:0005840
7EMF-2	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
3JCJ-3	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
8ETH-4			GO:0005634,GO:0016020,GO:0005730,GO:0005622
6XTX-4	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005654,GO:0005622
7ABH-1	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005783,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
5GPN-6			GO:0005737,GO:0016020,GO:0005739,GO:0005622
5MLC-7	GO:0003676,GO:0005488,GO:0003723		GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737,GO:0005840
5GJR-9	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005576,GO:0005737,GO:0005654
7YMI-6		GO:0009987,GO:0008152,GO:0015979	GO:0016020
5GJR-7	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
7A5H-9	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0007049,GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
5XJQ-2	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
5IQR-8	GO:0016740,GO:0005488,GO:0003824,GO:0000166,GO:0005515		
8ESW-4			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6HA1-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
4WQ1-51	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
1G0U-2	GO:0003824,GO:0016787		GO:0005737,GO:0005634,GO:0016020,GO:0005622
3JCT-5	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005730,GO:0005622
6RAZ-5	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987,GO:0008152	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
6W2S-8		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005622
6RW4-3	GO:0005515,GO:0005488		GO:0016020,GO:0005634,GO:0005622,GO:0005739,GO:0005737,GO:0005654,GO:0005840
6BUS-1	GO:0003676,GO:0003677,GO:0005488		
6Y53-6	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005634,GO:0016020,GO:0005654,GO:0005622
3MK3-1	GO:0003824,GO:0016740		GO:0005829,GO:0005737,GO:0005622
1G29-1	GO:0005488,GO:0000166		GO:0005886,GO:0016020
5MMI-2		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737,GO:0005840
7ZM7-6			GO:0005737,GO:0016020,GO:0005739,GO:0005622
5IY5-1	GO:0005515,GO:0005488,GO:0008289		GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737
1NNI-1			GO:0005829,GO:0005737,GO:0005622
6KAD-8		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
2RDO-8	GO:0005515,GO:0005488	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005622
5MMI-3	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737,GO:0005840
8OUW-6	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005622
5X8P-4		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
4WRO-11	GO:0016740,GO:0005488,GO:0003824,GO:0003676,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6C26-5			GO:0005783,GO:0016020,GO:0005737,GO:0005622
5OQJ-6			GO:0005634,GO:0016020,GO:0005622
3J3W-6	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
